Suburb,Price,Date
North Melbourne,1105000,4/3/2017
North Melbourne,841000,4/3/2017
North Melbourne,528500,4/6/2016
North Melbourne,585000,4/6/2016
North Melbourne,645000,7/5/2016
North Melbourne,410000,7/11/2016
North Melbourne,550000,7/11/2016
North Melbourne,470000,7/11/2016
North Melbourne,470000,7/11/2016
North Melbourne,475000,8/10/2016
North Melbourne,640000,8/10/2016
North Melbourne,1330000,10/9/2016
North Melbourne,720000,10/12/2016
North Melbourne,888000,10/12/2016
North Melbourne,1325000,10/12/2016
North Melbourne,368000,10/12/2016
North Melbourne,1300000,11/2/2017
North Melbourne,450000,12/11/2016
North Melbourne,1385000,13/08/2016
North Melbourne,990000,15/10/2016
North Melbourne,440000,16/04/2016
North Melbourne,606000,16/04/2016
North Melbourne,450000,16/07/2016
North Melbourne,1470000,17/09/2016
North Melbourne,591500,17/09/2016
North Melbourne,1300000,18/06/2016
North Melbourne,1010000,19/11/2016
North Melbourne,1266000,19/11/2016
North Melbourne,620000,19/11/2016
North Melbourne,540000,22/08/2016
North Melbourne,1200000,24/09/2016
North Melbourne,630000,24/09/2016
North Melbourne,560000,25/02/2017
North Melbourne,800000,27/06/2016
North Melbourne,665500,27/11/2016
North Melbourne,550055,27/11/2016
North Melbourne,358000,27/11/2016
North Melbourne,320000,27/11/2016
North Melbourne,1000000,27/11/2016
North Melbourne,598000,27/11/2016
North Melbourne,950000,28/05/2016
North Melbourne,1065000,28/05/2016
North Melbourne,885000,28/08/2016
North Melbourne,587134,28/08/2016
Parkville,1230000,3/9/2016
Parkville,1360000,3/12/2016
Parkville,1805000,8/10/2016
Parkville,352500,8/10/2016
Parkville,395000,11/2/2017
Parkville,307000,15/10/2016
Parkville,2200000,15/10/2016
Parkville,485000,15/10/2016
Parkville,1717500,19/11/2016
Parkville,1265000,19/11/2016
Parkville,401000,19/11/2016
Parkville,2375000,19/11/2016
Parkville,1851000,22/08/2016
Parkville,734600,22/08/2016
Parkville,1928000,24/09/2016
Parkville,526000,25/02/2017
Parkville,2236000,27/06/2016
Parkville,500000,27/11/2016
Parkville,1403000,27/11/2016
Parkville,965000,28/08/2016
Parkville,1040000,28/08/2016
Parkville,526000,30/07/2016
Parkville,750000,30/07/2016
Port Melbourne,1000000,4/6/2016
Port Melbourne,600000,4/6/2016
Port Melbourne,795000,6/8/2016
Port Melbourne,590000,6/8/2016
Port Melbourne,1275000,7/5/2016
Port Melbourne,1000000,7/5/2016
Port Melbourne,1820000,7/11/2016
Port Melbourne,655000,10/9/2016
Port Melbourne,1016500,10/9/2016
Port Melbourne,1350000,10/9/2016
Port Melbourne,1101000,10/12/2016
Port Melbourne,875000,18/06/2016
Port Melbourne,1384000,18/06/2016
Port Melbourne,720000,22/05/2016
Port Melbourne,1130000,22/05/2016
Port Melbourne,600000,22/08/2016
Port Melbourne,779000,24/09/2016
Port Melbourne,790000,24/09/2016
Port Melbourne,455500,24/09/2016
Port Melbourne,1350000,27/11/2016
Port Melbourne,2100000,27/11/2016
Port Melbourne,400000,28/05/2016
Port Melbourne,1405000,30/07/2016
South Yarra,1230000,3/12/2016
South Yarra,695000,4/3/2017
South Yarra,863000,4/3/2017
South Yarra,680000,4/3/2017
South Yarra,750000,4/6/2016
South Yarra,572000,4/6/2016
South Yarra,1460000,4/6/2016
South Yarra,659000,7/11/2016
South Yarra,1300000,8/10/2016
South Yarra,1300000,8/10/2016
South Yarra,1630000,10/9/2016
South Yarra,555000,12/11/2016
South Yarra,2695000,12/11/2016
South Yarra,805000,12/11/2016
South Yarra,360000,12/11/2016
South Yarra,832000,15/10/2016
South Yarra,3000000,15/10/2016
South Yarra,805000,17/09/2016
South Yarra,2050000,18/03/2017
South Yarra,2600000,18/03/2017
South Yarra,567500,19/11/2016
South Yarra,540000,22/05/2016
South Yarra,310000,23/04/2016
South Yarra,520000,26/07/2016
South Yarra,260800,28/05/2016
South Yarra,826000,28/08/2016
South Yarra,910000,28/08/2016
South Yarra,1715000,28/08/2016
South Yarra,1700000,28/08/2016
Southbank,720000,3/9/2016
Southbank,385500,4/3/2017
Southbank,868000,4/6/2016
Southbank,590000,4/6/2016
Southbank,530000,4/6/2016
Southbank,650000,6/8/2016
Southbank,990000,7/5/2016
Southbank,623000,7/5/2016
Southbank,592500,7/5/2016
Southbank,600000,7/11/2016
Southbank,485000,10/9/2016
Southbank,455000,11/2/2017
Southbank,569000,11/3/2017
Southbank,1220000,12/11/2016
Southbank,1250000,12/11/2016
Southbank,430000,12/11/2016
Southbank,480000,14/05/2016
Southbank,425000,16/04/2016
Southbank,815000,16/07/2016
Southbank,580000,18/03/2017
Southbank,700000,18/06/2016
Southbank,660000,19/11/2016
Southbank,622500,22/05/2016
Southbank,690000,23/04/2016
Southbank,800000,24/09/2016
Southbank,540000,24/09/2016
Southbank,370000,30/07/2016
Southbank,720000,30/07/2016
West Melbourne,1010000,3/9/2016
West Melbourne,650000,3/12/2016
West Melbourne,1260000,4/6/2016
West Melbourne,460000,4/6/2016
West Melbourne,2370000,4/6/2016
West Melbourne,800000,6/8/2016
West Melbourne,550000,7/5/2016
West Melbourne,660000,7/5/2016
West Melbourne,1055000,8/10/2016
West Melbourne,995000,18/03/2017
West Melbourne,1130000,18/06/2016
West Melbourne,443000,24/09/2016
West Melbourne,1120000,25/02/2017
West Melbourne,482000,26/07/2016
West Melbourne,620000,28/05/2016
West Melbourne,2100000,28/05/2016
West Melbourne,601000,30/07/2016
Carlton,735000,3/12/2016
Carlton,1460000,4/3/2017
Carlton,860000,4/6/2016
Carlton,1662000,7/5/2016
Carlton,1590000,7/5/2016
Carlton,610250,7/5/2016
Carlton,720000,7/5/2016
Carlton,840000,8/10/2016
Carlton,795000,10/12/2016
Carlton,705000,12/11/2016
Carlton,435000,13/08/2016
Carlton,1630100,14/05/2016
Carlton,480000,14/05/2016
Carlton,1600000,14/05/2016
Carlton,500000,14/05/2016
Carlton,920000,15/10/2016
Carlton,1600000,17/09/2016
Carlton,1010000,18/03/2017
Carlton,875000,18/03/2017
Carlton,1170000,18/06/2016
Carlton,1260000,18/06/2016
Carlton,600000,22/05/2016
Carlton,310000,22/05/2016
Carlton,1550000,22/08/2016
Carlton,2033000,23/04/2016
Carlton,1110000,24/09/2016
Carlton,2705000,25/02/2017
Carlton,1616000,25/02/2017
Carlton,585000,27/11/2016
Carlton,1162000,27/11/2016
Carlton,589000,28/05/2016
Carlton,2345000,28/08/2016
Carlton,1117000,28/08/2016
Carlton,600000,30/07/2016
Carlton,957000,30/07/2016
East Melbourne,4525000,3/12/2016
East Melbourne,3520000,4/6/2016
East Melbourne,740000,8/10/2016
East Melbourne,1015000,8/10/2016
East Melbourne,1400000,8/10/2016
East Melbourne,1935000,16/07/2016
East Melbourne,1475000,18/06/2016
East Melbourne,700000,22/08/2016
East Melbourne,565000,24/09/2016
East Melbourne,900000,25/02/2017
East Melbourne,630000,25/02/2017
East Melbourne,750000,28/05/2016
East Melbourne,872000,28/05/2016
East Melbourne,765000,28/08/2016
Docklands,360000,10/12/2016
Docklands,1370000,13/08/2016
Docklands,800000,27/06/2016
Melbourne,432000,6/5/2017
Melbourne,1850000,8/4/2017
Melbourne,333000,8/4/2017
Melbourne,452000,13/05/2017
Melbourne,895000,22/04/2017
Melbourne,275000,22/04/2017
Melbourne,683000,22/04/2017
Melbourne,640000,22/04/2017
Parkville,835000,6/5/2017
Parkville,3970000,13/05/2017
Parkville,2790000,20/05/2017
South Yarra,920000,13/05/2017
South Yarra,642000,13/05/2017
South Yarra,390500,29/04/2017
South Yarra,2050000,29/04/2017
Carlton,1520000,8/4/2017
Carlton,960000,20/05/2017
Carlton,995000,22/04/2017
Carlton,490000,29/04/2017
Carlton,500000,29/04/2017
East Melbourne,503000,8/4/2017
East Melbourne,810000,13/05/2017
East Melbourne,4275000,20/05/2017
Kensington,355000,8/4/2017
Kensington,425000,8/4/2017
Kensington,535000,8/4/2017
Kensington,500000,8/4/2017
Kensington,525000,13/05/2017
Kensington,1110000,20/05/2017
Kensington,917500,20/05/2017
Kensington,730000,20/05/2017
Kensington,811000,20/05/2017
Kensington,1190000,20/05/2017
Kensington,903000,22/04/2017
Kensington,902500,22/04/2017
Kensington,1817000,22/04/2017
Kensington,528000,22/04/2017
Kensington,1000000,29/04/2017
Kensington,380000,29/04/2017
Kensington,1817000,29/04/2017
North Melbourne,2161000,13/05/2017
North Melbourne,1485000,20/05/2017
North Melbourne,940000,29/04/2017
Southbank,505000,8/4/2017
Southbank,595000,8/4/2017
Southbank,580000,8/4/2017
Southbank,580000,13/05/2017
West Melbourne,1750000,13/05/2017
West Melbourne,1013000,20/05/2017
West Melbourne,1171000,20/05/2017
West Melbourne,1053000,22/04/2017
West Melbourne,295000,29/04/2017
Carlton,350000,1/7/2017
Carlton,620000,1/7/2017
Carlton,1760000,1/7/2017
Kensington,967000,1/7/2017
Kensington,850000,1/7/2017
Kensington,500000,1/7/2017
Kensington,535000,1/7/2017
North Melbourne,550000,1/7/2017
North Melbourne,962000,1/7/2017
North Melbourne,936000,1/7/2017
Kensington,855000,3/6/2017
Kensington,990000,3/6/2017
North Melbourne,970000,3/6/2017
Parkville,1770000,3/6/2017
South Yarra,2210000,3/6/2017
South Yarra,2400000,3/6/2017
Southbank,422000,3/6/2017
Southbank,590000,3/6/2017
West Melbourne,792000,3/6/2017
East Melbourne,1875000,17/06/2017
East Melbourne,1350000,17/06/2017
Kensington,1070000,17/06/2017
Kensington,730000,17/06/2017
Kensington,392000,17/06/2017
Kensington,1150000,17/06/2017
Kensington,1415000,17/06/2017
Kensington,370000,17/06/2017
Melbourne,740000,17/06/2017
North Melbourne,1000000,17/06/2017
North Melbourne,780000,17/06/2017
North Melbourne,550000,17/06/2017
Parkville,850000,17/06/2017
Parkville,900000,17/06/2017
Southbank,642500,17/06/2017
Southbank,422500,17/06/2017
Carlton,1000000,24/06/2017
Carlton,720000,24/06/2017
East Melbourne,885000,24/06/2017
Kensington,1250000,24/06/2017
Kensington,395000,24/06/2017
Kensington,840500,24/06/2017
North Melbourne,570000,24/06/2017
North Melbourne,850000,24/06/2017
South Yarra,945000,24/06/2017
West Melbourne,1370000,24/06/2017
Carlton,1100000,27/05/2017
Kensington,400000,27/05/2017
Kensington,715000,27/05/2017
Melbourne,720000,27/05/2017
North Melbourne,1126000,27/05/2017
North Melbourne,1746000,27/05/2017
North Melbourne,799000,27/05/2017
North Melbourne,1285000,27/05/2017
Parkville,1560000,27/05/2017
Southbank,600000,27/05/2017
Southbank,600000,27/05/2017
West Melbourne,660000,27/05/2017
Kensington,438000,8/7/2017
Kensington,710000,8/7/2017
Kensington,390000,8/7/2017
Melbourne,1075000,8/7/2017
North Melbourne,785000,8/7/2017
North Melbourne,620000,8/7/2017
Parkville,800000,8/7/2017
South Yarra,1855500,8/7/2017
West Melbourne,670000,8/7/2017
West Melbourne,510000,8/7/2017
East Melbourne,1300000,12/8/2017
Kensington,1225000,12/8/2017
North Melbourne,1475000,12/8/2017
North Melbourne,450000,12/8/2017
North Melbourne,525000,12/8/2017
South Yarra,1350000,12/8/2017
South Yarra,940000,12/8/2017
Southbank,625000,12/8/2017
Kensington,840000,15/07/2017
Kensington,535000,15/07/2017
Melbourne,387000,15/07/2017
North Melbourne,541000,15/07/2017
West Melbourne,380000,15/07/2017
West Melbourne,1900000,15/07/2017
Carlton,920000,22/07/2017
East Melbourne,895000,22/07/2017
North Melbourne,465000,22/07/2017
South Yarra,747500,22/07/2017
Carlton,920000,29/07/2017
Kensington,445000,29/07/2017
Kensington,501000,29/07/2017
Kensington,1060000,29/07/2017
Melbourne,565000,29/07/2017
Melbourne,540000,29/07/2017
North Melbourne,681000,29/07/2017
North Melbourne,1803000,29/07/2017
Southbank,732000,29/07/2017
